epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,562.533,1.02814,3.67195,1.04785,0.80682,0.33182,0.34511,0.24366,1.14763,18.0517,1.23486,0.00043342,0.00043342,0.00043342
2,1086.58,1.11722,1.86716,1.10812,0.01728,0.38788,0.01297,0.00758,1.41013,113.358,1.46271,0.000825198,0.000825198,0.000825198
3,1607.08,1.2387,1.4492,1.16032,0.07479,0.47424,0.04835,0.02533,1.33348,81.9534,1.71825,0.00115756,0.00115756,0.00115756
4,2130.54,1.18737,1.29694,1.17482,0.00728,0.38258,0.00611,0.00318,1.55859,18522.1,4.01484,0.00133693,0.00133693,0.00133693
5,2654.39,1.23614,1.31605,1.19739,0.00466,0.42879,0.00393,0.00215,1.51423,3130.64,1.75093,0.00122691,0.00122691,0.00122691
6,3179.16,1.19059,1.24428,1.20867,0.17745,0.25,0.14724,0.09822,1.21919,3.35257,1.30222,0.00111689,0.00111689,0.00111689
7,3702.26,1.17427,1.13994,1.17175,0.90138,0.27749,0.40136,0.27961,1.2866,2.01466,1.47878,0.00100687,0.00100687,0.00100687
8,4233.54,1.18785,1.05597,1.24841,0.5408,0.24091,0.11811,0.06697,1.51631,10.5927,1.63843,0.000896846,0.000896846,0.000896846
9,4756.87,1.0968,1.00279,1.15229,0.95613,0.34091,0.56481,0.37705,1.10851,1.09176,1.22874,0.000786824,0.000786824,0.000786824
10,5275.45,1.00139,0.93952,1.11786,0.75981,0.50152,0.56271,0.383,1.0617,1.04966,1.25753,0.000676802,0.000676802,0.000676802
11,5796.28,0.92216,0.82197,1.09246,0.58094,0.53333,0.62716,0.43308,0.99382,0.87684,1.2022,0.00056678,0.00056678,0.00056678
12,6322.35,0.93984,0.78611,1.03486,0.46868,0.55606,0.61871,0.41849,1.0497,0.86659,1.19294,0.000456758,0.000456758,0.000456758
13,6844.86,0.91566,0.74274,1.08315,0.63534,0.55152,0.64917,0.43339,0.96178,0.84465,1.18403,0.000346736,0.000346736,0.000346736
14,7373.08,0.88882,0.68061,1.06488,0.6606,0.60834,0.67296,0.47054,0.95044,0.74699,1.16694,0.000236714,0.000236714,0.000236714
15,7897.94,0.85718,0.64931,0.9989,0.89582,0.56679,0.72398,0.49436,0.88798,0.69346,1.13288,0.000126692,0.000126692,0.000126692
